3.000433,4.499001,2
7.000433,9.499001,2
14.000433,15.499001,2
18.000433,19.499001,2
21.000432,22.499001,2
25.000433,26.499001,2
29.000433,30.499001,2
33.000433,34.499001,2
37.000433,38.499001,2
41.000433,42.499001,2
44.000433,45.499001,2
48.000433,49.499001,2
53.000433,54.499001,2
57.000433,58.499001,2
62.000433,63.499001,2
65.000433,67.499001,2
70.000433,72.499001,2
75.000433,76.499001,2
80.000433,81.499001,2
86.000433,87.499001,2
91.000433,92.499001,2
96.000433,97.499001,2
103.000433,104.499001,2
106.000433,107.499001,2
111.000433,112.499001,2
116.000433,117.499001,2
